Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7313432835820896,0.49658703071672355,0.7780748663101604,0.60625,0.8334001998229548
Random Forest,0.7711442786069652,0.5702702702702702,0.5641711229946524,0.5672043010752689,0.8105215068514423
XGBoost,0.7775408670931059,0.5721040189125296,0.6470588235294118,0.6072772898368883,0.834247894352672
Tuned XGBoost,0.7683013503909026,0.546875,0.7486631016042781,0.6320541760722348,0.8359795207355142
